['2024-02-14 02:04:20', '2024-02-14 02:00:39']
['2024-02-14 04:19:39', '2024-02-14 04:17:36']
['2024-02-14 07:11:27', '2024-02-14 07:08:45']
['2024-02-14 11:06:56', '2024-02-14 11:04:40']
['2024-02-14 12:58:39', '2024-02-14 12:54:39']
['2024-02-15 11:25:44', '2024-02-15 11:23:39']
['2024-02-15 18:00:35', '2024-02-15 17:57:40']
['2024-02-15 23:31:32', '2024-02-15 23:26:45']
['2024-02-16 02:05:48', '2024-02-16 02:02:34']
['2024-02-16 16:07:24', '2024-02-16 16:04:41']
['2024-02-17 01:18:55', '2024-02-17 01:15:36']
['2024-02-17 03:05:15', '2024-02-17 03:00:33']
['2024-02-17 03:07:31', '2024-02-17 03:05:15']
['2024-02-17 03:09:45', '2024-02-17 03:07:31']
['2024-02-17 03:12:02', '2024-02-17 03:09:45']
['2024-02-17 03:14:15', '2024-02-17 03:12:02']
['2024-02-17 03:16:30', '2024-02-17 03:14:15']
['2024-02-17 03:18:43', '2024-02-17 03:16:30']
['2024-02-17 03:20:56', '2024-02-17 03:18:43']
['2024-02-17 03:23:17', '2024-02-17 03:20:56']
['2024-02-17 03:27:35', '2024-02-17 03:23:17']
['2024-02-17 03:29:52', '2024-02-17 03:27:35']
['2024-02-17 03:33:09', '2024-02-17 03:30:52']
['2024-02-17 03:35:24', '2024-02-17 03:33:09']
['2024-02-17 03:37:38', '2024-02-17 03:35:24']
['2024-02-17 03:39:47', '2024-02-17 03:37:38']
['2024-02-17 03:42:01', '2024-02-17 03:39:47']
['2024-02-17 03:44:14', '2024-02-17 03:42:01']
['2024-02-17 03:46:26', '2024-02-17 03:44:14']
['2024-02-17 03:48:35', '2024-02-17 03:46:26']
['2024-02-17 03:50:46', '2024-02-17 03:48:35']
['2024-02-17 03:52:58', '2024-02-17 03:50:46']
['2024-02-17 03:55:15', '2024-02-17 03:52:58']
['2024-02-17 03:57:28', '2024-02-17 03:55:15']
['2024-02-17 03:59:41', '2024-02-17 03:57:28']
['2024-02-17 04:03:20', '2024-02-17 04:01:10']
['2024-02-17 04:05:33', '2024-02-17 04:03:20']
['2024-02-17 04:07:45', '2024-02-17 04:05:33']
['2024-02-17 04:09:58', '2024-02-17 04:07:45']
['2024-02-17 04:12:04', '2024-02-17 04:09:58']
['2024-02-17 04:16:38', '2024-02-17 04:14:29']
['2024-02-17 18:03:39', '2024-02-17 18:00:38']
['2024-02-17 21:41:55', '2024-02-17 21:39:43']
['2024-02-18 00:58:49', '2024-02-18 00:56:32']
['2024-02-18 01:47:58', '2024-02-18 01:45:39']
['2024-02-18 02:28:32', '2024-02-18 02:15:36']
['2024-02-18 20:08:52', '2024-02-18 20:05:32']
['2024-02-18 22:10:58', '2024-02-18 22:06:48']
['2024-02-19 03:46:21', '2024-02-19 03:29:37']
['2024-02-19 06:03:39', '2024-02-19 06:01:38']
['2024-02-19 14:23:44', '2024-02-19 14:20:43']
['2024-02-19 16:04:26', '2024-02-19 16:01:40']
['2024-02-19 18:14:03', '2024-02-19 18:10:47']
['2024-02-19 18:39:23', '2024-02-19 18:36:37']
['2024-02-20 11:05:16', '2024-02-20 11:02:42']
['2024-02-20 15:01:55', '2024-02-20 14:59:38']
['2024-02-20 18:21:43', '2024-02-20 18:19:39']
['2024-02-20 20:09:55', '2024-02-20 20:07:37']
['2024-02-20 20:12:55', '2024-02-20 20:10:50']
['2024-02-20 20:32:50', '2024-02-20 20:29:44']
['2024-02-20 20:55:07', '2024-02-20 20:51:42']
['2024-02-21 06:22:35', '2024-02-21 06:20:34']
['2024-02-21 09:24:23', '2024-02-21 09:21:38']
['2024-02-21 18:06:42', '2024-02-21 18:03:44']
['2024-02-21 18:12:31', '2024-02-21 18:09:41']
['2024-02-21 18:31:38', '2024-02-21 18:29:37']
['2024-02-21 19:46:31', '2024-02-21 19:29:35']
['2024-02-21 21:20:50', '2024-02-21 21:03:50']
['2024-02-22 16:24:41', '2024-02-22 16:03:37']
['2024-02-22 17:58:06', '2024-02-22 17:55:39']
['2024-02-22 19:28:45', '2024-02-22 19:25:37']
['2024-02-23 13:04:00', '2024-02-23 13:00:38']
['2024-02-23 15:28:41', '2024-02-23 15:24:35']
['2024-02-23 19:01:53', '2024-02-23 18:58:37']
['2024-02-23 22:05:56', '2024-02-23 22:03:50']
['2024-02-24 03:07:15', '2024-02-24 03:01:39']
['2024-02-24 06:03:50', '2024-02-24 06:00:36']
['2024-02-24 17:03:58', '2024-02-24 17:00:37']
['2024-02-24 19:16:24', '2024-02-24 19:13:36']
['2024-02-24 23:45:50', '2024-02-24 23:43:42']
['2024-02-25 02:06:19', '2024-02-25 02:00:36']
['2024-02-25 07:04:41', '2024-02-25 07:00:36']
['2024-02-26 14:30:01', '2024-02-25 11:27:39']
['2024-02-26 18:07:58', '2024-02-26 18:04:48']
['2024-02-26 18:18:32', '2024-02-26 18:15:42']
['2024-02-26 21:54:33', '2024-02-26 21:35:50']
['2024-02-27 03:49:24', '2024-02-27 03:32:35']
['2024-02-27 14:45:26', '2024-02-27 14:28:37']
['2024-02-27 15:01:59', '2024-02-27 14:45:26']
['2024-02-27 15:04:00', '2024-02-27 15:01:59']
['2024-02-27 15:59:43', '2024-02-27 15:56:54']
['2024-02-27 16:03:50', '2024-02-27 16:01:41']
['2024-02-27 16:06:37', '2024-02-27 16:04:24']
['2024-02-27 16:15:52', '2024-02-27 16:13:43']
['2024-02-27 16:26:54', '2024-02-27 16:24:27']
['2024-02-27 16:47:21', '2024-02-27 16:30:44']
['2024-02-27 18:11:48', '2024-02-27 18:08:44']
['2024-02-28 16:55:56', '2024-02-27 18:59:34']
['2024-02-28 16:58:54', '2024-02-28 16:55:56']
['2024-02-28 17:04:06', '2024-02-28 16:58:54']
['2024-02-28 17:07:04', '2024-02-28 17:04:06']
['2024-02-28 17:10:10', '2024-02-28 17:07:04']
['2024-02-28 17:13:05', '2024-02-28 17:10:10']
['2024-02-28 17:15:52', '2024-02-28 17:13:05']
['2024-02-28 17:18:47', '2024-02-28 17:15:52']
['2024-02-28 17:21:41', '2024-02-28 17:18:47']
['2024-02-28 17:24:36', '2024-02-28 17:21:41']
['2024-02-28 17:27:32', '2024-02-28 17:24:36']
['2024-02-28 17:30:27', '2024-02-28 17:27:32']
['2024-02-28 17:33:13', '2024-02-28 17:30:27']
['2024-02-28 17:36:07', '2024-02-28 17:33:13']
['2024-02-28 17:38:54', '2024-02-28 17:36:07']
['2024-02-28 17:41:48', '2024-02-28 17:38:54']
['2024-02-28 17:44:44', '2024-02-28 17:41:48']
['2024-02-28 17:47:35', '2024-02-28 17:44:44']
['2024-02-28 17:50:30', '2024-02-28 17:47:35']
['2024-02-28 17:53:25', '2024-02-28 17:50:30']
['2024-02-28 17:56:20', '2024-02-28 17:53:25']
['2024-02-28 17:59:11', '2024-02-28 17:56:20']
['2024-02-28 18:01:59', '2024-02-28 17:59:11']
['2024-02-28 18:04:49', '2024-02-28 18:01:59']
['2024-02-28 18:07:45', '2024-02-28 18:04:49']
['2024-02-28 18:10:44', '2024-02-28 18:07:45']
['2024-02-28 18:13:40', '2024-02-28 18:10:44']
['2024-02-28 18:16:32', '2024-02-28 18:13:40']
['2024-02-28 18:19:20', '2024-02-28 18:16:32']
['2024-02-28 18:22:10', '2024-02-28 18:19:20']
['2024-02-28 18:24:57', '2024-02-28 18:22:10']
