['2024-02-18 02:28:17', '2024-02-18 02:16:25']
['2024-02-19 03:46:39', '2024-02-19 03:29:27']
['2024-02-21 19:46:51', '2024-02-21 19:29:26']
['2024-02-21 21:21:10', '2024-02-21 21:03:40']
['2024-02-24 03:07:45', '2024-02-24 03:02:28']
['2024-02-25 02:06:48', '2024-02-25 02:01:27']
['2024-02-26 14:29:33', '2024-02-25 11:27:29']
['2024-02-26 21:55:24', '2024-02-26 21:35:40']
['2024-02-27 03:49:43', '2024-02-27 03:32:25']
['2024-02-27 15:03:05', '2024-02-27 14:28:28']
['2024-02-27 16:48:45', '2024-02-27 16:30:35']
