['2024-02-14 02:04:50', '2024-02-14 02:01:26']
['2024-02-14 11:06:40', '2024-02-14 11:04:30']
['2024-02-14 12:57:55', '2024-02-14 12:55:24']
['2024-02-15 09:40:27', '2024-02-15 09:38:26']
['2024-02-15 23:31:05', '2024-02-15 23:27:36']
['2024-02-16 02:05:25', '2024-02-16 02:02:26']
['2024-02-17 01:18:40', '2024-02-17 01:16:24']
['2024-02-17 03:03:17', '2024-02-17 03:00:24']
['2024-02-17 03:05:33', '2024-02-17 03:03:17']
['2024-02-17 03:07:50', '2024-02-17 03:05:33']
['2024-02-17 03:10:04', '2024-02-17 03:07:50']
['2024-02-17 03:12:20', '2024-02-17 03:10:04']
['2024-02-17 03:14:33', '2024-02-17 03:12:20']
['2024-02-17 03:16:48', '2024-02-17 03:14:33']
['2024-02-17 03:19:02', '2024-02-17 03:16:48']
['2024-02-17 03:21:15', '2024-02-17 03:19:02']
['2024-02-17 03:25:22', '2024-02-17 03:21:15']
['2024-02-17 03:27:27', '2024-02-17 03:25:22']
['2024-02-17 03:29:40', '2024-02-17 03:27:27']
['2024-02-17 03:32:56', '2024-02-17 03:30:43']
['2024-02-17 03:35:14', '2024-02-17 03:32:56']
['2024-02-17 03:37:30', '2024-02-17 03:35:14']
['2024-02-17 03:39:40', '2024-02-17 03:37:30']
['2024-02-17 03:41:50', '2024-02-17 03:39:40']
['2024-02-17 03:44:06', '2024-02-17 03:41:50']
['2024-02-17 03:46:18', '2024-02-17 03:44:06']
['2024-02-17 03:48:28', '2024-02-17 03:46:18']
['2024-02-17 03:50:39', '2024-02-17 03:48:28']
['2024-02-17 03:52:50', '2024-02-17 03:50:39']
['2024-02-17 03:55:03', '2024-02-17 03:52:50']
['2024-02-17 03:57:20', '2024-02-17 03:55:03']
['2024-02-17 03:59:33', '2024-02-17 03:57:20']
['2024-02-17 04:03:12', '2024-02-17 04:01:01']
['2024-02-17 04:05:25', '2024-02-17 04:03:12']
['2024-02-17 04:07:37', '2024-02-17 04:05:25']
['2024-02-17 04:09:50', '2024-02-17 04:07:37']
['2024-02-17 04:11:55', '2024-02-17 04:09:50']
['2024-02-17 04:14:44', '2024-02-17 04:12:24']
['2024-02-17 04:16:56', '2024-02-17 04:14:44']
['2024-02-17 21:42:46', '2024-02-17 21:40:34']
['2024-02-18 01:47:42', '2024-02-18 01:45:24']
['2024-02-18 02:28:17', '2024-02-18 02:16:25']
['2024-02-18 20:08:36', '2024-02-18 20:06:24']
['2024-02-18 22:10:34', '2024-02-18 22:07:32']
['2024-02-19 03:46:39', '2024-02-19 03:29:27']
['2024-02-20 11:04:55', '2024-02-20 11:02:28']
['2024-02-20 15:01:36', '2024-02-20 14:59:29']
['2024-02-20 20:09:36', '2024-02-20 20:07:28']
['2024-02-20 20:12:38', '2024-02-20 20:10:37']
['2024-02-20 20:32:25', '2024-02-20 20:29:30']
['2024-02-20 20:54:47', '2024-02-20 20:51:29']
['2024-02-21 19:46:51', '2024-02-21 19:29:26']
['2024-02-21 21:21:10', '2024-02-21 21:03:40']
['2024-02-22 16:07:28', '2024-02-22 16:04:37']
['2024-02-22 16:10:24', '2024-02-22 16:07:28']
['2024-02-22 16:13:12', '2024-02-22 16:10:24']
['2024-02-22 16:15:59', '2024-02-22 16:13:12']
['2024-02-22 16:18:45', '2024-02-22 16:15:59']
['2024-02-22 16:21:34', '2024-02-22 16:18:45']
['2024-02-22 16:24:24', '2024-02-22 16:21:34']
['2024-02-23 13:03:35', '2024-02-23 13:01:34']
['2024-02-23 15:28:15', '2024-02-23 15:24:26']
['2024-02-24 03:07:45', '2024-02-24 03:02:28']
['2024-02-24 06:03:32', '2024-02-24 06:01:25']
['2024-02-24 16:30:26', '2024-02-24 16:27:23']
['2024-02-24 17:03:36', '2024-02-24 17:01:25']
['2024-02-24 23:46:41', '2024-02-24 23:44:33']
['2024-02-25 02:06:48', '2024-02-25 02:01:27']
['2024-02-25 07:03:48', '2024-02-25 07:01:25']
['2024-02-26 14:29:33', '2024-02-25 11:27:29']
['2024-02-26 21:55:24', '2024-02-26 21:35:40']
['2024-02-27 03:49:43', '2024-02-27 03:32:25']
['2024-02-27 15:03:05', '2024-02-27 14:28:28']
['2024-02-27 15:59:12', '2024-02-27 15:56:33']
['2024-02-27 16:48:45', '2024-02-27 16:30:35']
