['2024-02-18 02:27:52', '2024-02-18 02:16:08']
['2024-02-19 03:46:12', '2024-02-19 03:30:10']
['2024-02-21 19:46:21', '2024-02-21 19:30:08']
['2024-02-21 21:20:40', '2024-02-21 21:04:28']
['2024-02-26 14:29:12', '2024-02-25 11:28:09']
['2024-02-26 21:54:14', '2024-02-26 21:36:19']
['2024-02-27 03:49:12', '2024-02-27 03:33:09']
['2024-02-27 14:45:16', '2024-02-27 14:29:09']
['2024-02-27 15:01:48', '2024-02-27 14:45:16']
['2024-02-27 16:47:33', '2024-02-27 16:30:55']
['2024-02-28 16:46:26', '2024-02-27 19:00:08']
['2024-03-02 18:24:37', '2024-03-02 15:41:56']
